Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2019-12-31,Eduisfun,2015,Mumbai,['Jatin Solanki'],"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019,Education,1,3
2020-01-01,Muse Wearables,2018,Chennai,"['K.L.N Sai Prasanth', ' Yathindra Ajay K.A', ' K. Prathyusha']",Dr. Bhaskar Rao Bollineni,3000000.0,Series A,2020,Technology,3,1
2020-01-02,Pickrr,2015,Delhi,"['Ankit Kaushik', ' Gaurav Mangla', ' Rhitiman Majumder']",Swastika,4000000.0,Series A,2020,Logistics,3,1
2020-01-02,Kristal AI,2016,Bangalore,"['Asheesh Chanda', ' Vineeth Narasimhan']",Chiratae Ventures,6000000.0,Series A,2020,Technology,2,1
2020-01-02,Hapramp,2018,Gurugram,"['Shubhendra Vikram', ' Ankit Kumar']",Anand Mahindra,1000000.0,Series A,2020,Technology,2,1
2020-01-03,Tricog,2015,Bangalore,"['Charit Bhograj', ' Zainul Charbiwala', ' Udayan Dasgupta', ' Abhinav Gujjar']","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B,2020,Healthcare,4,5
2020-01-03,Ola Financial Services,2016,Bangalore,['Bhavish Aggarwal'],Matrix Partners,27000000.0,Series A,2020,FinTech,1,1
2020-01-03,NoBroker,2014,Bangalore,"['Amit Kumar Agarwal', ' Akhil Gupta', ' Saurabh Garg']",General Atlantic,30000000.0,Series A,2020,Real Estate,3,1
2020-01-03,Furlenco,2011,Bangalore,['Ajith Mohan Karimpana'],Chowdry Associates,2200000.0,Series C,2020,E-Commerce,1,1
2020-01-04,Smallcase,2015,Bangalore,"['Anugrah Shrivastava', ' Rohan Gupta', ' Vasanth Kamath']","Sequoia Capital India, Blume Ventures",13400000.0,Series B,2020,FinTech,3,2
2020-01-05,FrontRow,2016,Bangalore,"['Mikhil Raj', ' Shubhadit Sharma', ' Ishaan Preet Singh']","Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020,Education,3,3
2020-01-05,BankBazaar,2008,Chennai,"['Adhil Shetty', ' Arjun Shetty', ' Rati Shetty', '']",WSV Capital,5967000.0,Series D1,2020,FinTech,4,1
2020-01-06,Zetwerk,2018,Bangalore,"['Amrit Acharya', ' Srinath Ramakkrushnan', ' Vishal Chaudhary']",Greenoaks,21000000.0,Series C,2020,Marketing,3,1
2020-01-07,Euler Motors,2016,Delhi,['Saurav Kumar'],Inventus III India Fund,2530000.0,Series A,2020,Automotive,1,1
2020-01-07,Livspace,2014,Bangalore,"['Anuj Srivastava', ' Ramakant Sharma']","Mercer Investments, Nicholas Cator",9000000.0,Series D,2020,Real Estate,2,2
2020-01-07,Agnikul,2016,Chennai,['Srinath Ravichandran'],pi Ventures,3148000.0,Pre-series A,2020,Technology,1,1
2020-01-08,Omatra Hotels,2017,Kolkata,"['NAVEED AHAMED', ' SYED SAQQA ABBAS']",Capify,3000000.0,Seed,2020,Hospitality,2,1
2020-01-08,DillyHub,2018,Seoul,['Ji Cheol Ryu'],"Kakao Ventures, Shinhan Capital",1400000.0,Seed,2020,Media/Entertainment,1,2
2020-01-08,ChitMonks,2016,Hyderabad,['Pavan Adipuram'],Unicorn India Ventures,650000.0,Pre-series A,2020,FinTech,1,1
2020-01-09,Paytm money,2010,Bangalore,['Vijay Shekhar Sharma'],One97 Communications,5600000.0,Series A,2020,FinTech,1,1
2020-01-09,Zetwerk,2018,Bangalore,"['Amrit Acharya', ' Srinath Ramakkrushnan', ' Vishal Chaudhary']",InnoVen capital,2200000.0,Series A,2020,Marketing,3,1
2020-01-09,IncubateHub,2016,Bengaluru,['Rajiv Mukherjee'],Venture Catalysts,3000000.0,Series A,2020,Technology,1,1
2020-01-10,Byju's,2011,Bangalore,"['Byju Raveendran', ' Divya Gokulnath']","Owl Ventures, Tiger Global Management",200000000.0,Series A,2020,Education,2,2
2020-01-11,OM Bhakti,2016,Bangalore,"['Sridhar Joshi', ' Prashant Kulkarni']",Venture Catalysts,3000000.0,Seed Round,2020,Consumables,2,1
2020-01-11,Finelistings,2015,Delhi,['Aneesh Mathur'],Justdial,3000000.0,Series A,2020,Automotive,1,1
2020-01-11,Myelin Foundry,2019,Bangalore,"['Dr Gopichand Katragadda', ' Ganesh Suryanarayanan', ' Aditi Olemann.']",Pratithi,3000000.0,Series A,2020,Technology,3,1
2020-01-11,Shipsy,2015,Gurugram,"['Dhruv Agrawal', ' Himanshu Gupta', ' Soham Chokshi']","DTDC, Udaan Angel Partners",6000000.0,Series A,2020,Technology,3,2
