Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-06-27,Workflexi,Seed,10000000.0,2018,2016,Bangalore,Other
2018-06-27,Hero Electric,Venture - Series Unknown,1600000000.0,2018,2016,Delhi,Manufacture
2018-06-27,BabyChakra,Series B,5800000.0,2018,2016,Mumbai,Automotive
2018-06-27,SmartVizX,Seed,1450000.0,2018,2016,Noida,Technology
2018-06-29,Sukkhi Jewellery,Venture - Series Unknown,510000000.0,2018,2016,Mumbai,Lifestyle
2018-06-30,BetterPlace Safety Solutions Pvt. Ltd.,Series A,3000000.0,2018,2016,Bangalore,Wellness/Beauty
2018-06-30,Worxogo,Series A,165000000.0,2018,2016,Bangalore,Technology
2018-07-01,Vedantu,Series B,11000000.0,2018,2016,Bangalore,Education
2018-07-02,PetSutra,Seed,9500000.0,2018,2016,Gurugram,Healthcare
2018-07-02,Backpacker Panda Holidays Private Limited,Series A,1400000.0,2018,2016,Pune,Logistics
2018-07-03,PivotRoots,Series A,5800000.0,2018,2016,Mumbai,Consumer Services
2018-07-03,PlanetSpark,Seed,16000000.0,2018,2016,Gurugram,Education
2018-07-04,LT Foods,Post-IPO Equity,1400000000.0,2018,2016,Delhi,Consumables
2018-07-04,Myra,Venture - Series Unknown,8750000.0,2018,2016,Bangalore,Automotive
2018-07-05,CoinGeto,Seed,120000000.0,2018,2016,Delhi,FinTech
2018-07-05,Try & Buy,Seed,5800000.0,2018,2016,Delhi,Lifestyle
2018-07-06,Inthree Access,Series A,4000000.0,2018,2016,Chennai,Consumer Services
2018-07-07,Fric Bergen,Venture - Series Unknown,5800000.0,2018,2016,Alwar,Consumables
2018-07-07,Scale Labs,Seed,1000000.0,2018,2016,Delhi,E-Commerce
2018-07-08,Nykaa,Seed,1130000000.0,2018,2016,Mumbai,Lifestyle
2018-07-09,MedCords,Seed,26400000.0,2018,2016,Pune,Wellness/Beauty
2018-07-09,Mojro Technologies,Seed,650000.0,2018,2016,Bangalore,Logistics
2018-07-11,Antariksh Waste Ventures Pvt ltd,Seed,500000.0,2018,2016,Chennai,Technology
2018-07-12,DronaHQ,Angel,500000.0,2018,2016,Mumbai,Technology
2018-07-12,Tolet for Students,Seed,5000000.0,2018,2016,Jodhpur,Hospitality
2018-07-12,Olly Smart Credit Card,Seed,5800000.0,2018,2016,Delhi,Automotive
2018-07-12,Mobycy,Angel,5800000.0,2018,2016,Gurugram,Logistics
2018-07-13,CloudSek,Seed,140000000.0,2018,2016,Bangalore,Technology
2018-07-13,Coutloot,Seed,1000000.0,2018,2016,Mumbai,Lifestyle
2018-07-13,IndiQube,Series A,15000000.0,2018,2016,Bangalore,Real Estate
2018-07-14,CashRich,Seed,1000000.0,2018,2016,Mumbai,FinTech
2018-07-15,Verloop,Series A,3000000.0,2018,2016,Bangalore,Technology
2018-07-15,Asteria Aerospace,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-07-18,Carmesi,Seed,34000000.0,2018,2016,Gurugram,Automotive
2018-07-20,Paymatrix,Seed,100000.0,2018,2016,Hyderabad,Automotive
2018-07-20,Playtoome,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-07-23,Perpule,Series A,340000000.0,2018,2016,Bangalore,Consumer Services
2018-07-23,HalaPlay Technologies,Series A,5000000.0,2018,2016,Bangalore,Gaming
2018-07-25,arzooo.com,Seed,15000000.0,2018,2016,Bangalore,Consumer Services
2018-07-26,Haazri,Seed,12500000.0,2018,2016,Mumbai,Consumables
2018-07-27,Cyclops Medtech,Seed,1000000.0,2018,2016,Bangalore,Automotive
2018-07-27,FoodBuddy,Seed,60000000.0,2018,2016,Belgaum,Consumables
2018-07-27,mfine,Series A,4200000.0,2018,2016,Bangalore,Automotive
2018-07-28,NirogStreet,Seed,300000.0,2018,2016,Gurugram,Automotive
2018-07-28,MadGuy Labs,Venture - Series Unknown,150000.0,2018,2016,Hyderabad,Education
2018-07-28,BUGWORKS Research India,Series A,9000000.0,2018,2016,Bangalore,Healthcare
2018-07-29,Royal Sundaram General Insurance Co. Limited,Corporate Round,210000000.0,2018,2016,Kalpakkam,Healthcare
2018-07-30,Freightwalla,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-07-31,Sensibull,Seed,25000000.0,2018,2016,Bangalore,E-Commerce
2018-08-01,FLEECA,Seed,5800000.0,2018,2016,Jaipur,Automotive
2018-08-02,LivQuik,Corporate Round,2700000.0,2018,2016,Mumbai,FinTech
2018-08-03,INDwealth,Seed,-2147483648.0,2018,2016,Gurugram,Finance
2018-08-06,Billdesk,Venture - Series Unknown,5800000.0,2018,2016,Ahmedabad,FinTech
2018-08-06,CLP India Pvt. Ltd.,Seed,365000000.0,2018,2016,Mumbai,Energy
2018-08-07,Awign Enterprises,Seed,50000000.0,2018,2016,Bangalore,Marketing
2018-08-08,Huddle,Seed,300000.0,2018,2016,Haryana,Consumer Services
2018-08-08,WOTU,Seed,5800000.0,2018,2016,Bangalore,Consumables
2018-08-09,Avail Finance,Series A,17200000.0,2018,2016,Bangalore,FinTech
2018-08-09,Plum Goodness,Series A,5800000.0,2018,2016,Thane,Automotive
2018-08-10,Doxper,Seed,72000000.0,2018,2016,Mumbai,Automotive
2018-08-11,Credy,Seed,1400000.0,2018,2016,Bangalore,FinTech
2018-08-11,Enakshi,Seed,8000000.0,2018,2016,Ahmedabad,Lifestyle
2018-08-11,ERUDITUS Executive Education,Series C,40000000.0,2018,2016,Mumbai,Education
2018-08-11,Planys Technologies,Series A,140200000.0,2018,2016,Chennai,Energy
2018-08-13,Flathalt,Angel,50000.0,2018,2016,Gurugram,Real Estate
